Sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mujer,24486,24854,24481,24669,24618,25190.80,25669.06,26578.62,27203.03,27868.73,27661.27,29251.09,30693.13,32376.94,33348.85
Hombre,32454,33097,32697,33084,32868,32615.17,32819.49,34016.61,34534.23,34261.06,33533.80,35415.38,37005.57,38407.29,39601.92
