Sexo,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Sexo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,América Latina,Resto del mundo,Resto de la Unión Europea,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo,Resto de la Unión Europea,Resto de Europa,América Latina,Resto del mundo
Mujer,20095.07,14610.79,13136.30,21813.10,14208.41,13532.96,22920.88,15468.59,13715.44,22199.71,15661.08,14127.79,21604.34,14476.24,13481.99,21573.52,-,13453.78,22655.04,13571.39,24761.40,20004.80,16589.11,14456.84,26824.71,22475.34,-,15157.96,27289.84,24151.14,16958.76,17193.27,26151.19,22825.00,17000.77,15876.25,28655.49,24232.20,18553.20,17403.55,30929.82,26619.12,19016.14,21617.55,34651.46,29358.46,20221.84,23641.06,33902.72,30886.50,20654.55,23034.09
Hombre,27254.90,17664.58,15513.16,27650.73,16601.00,15370.82,27817.69,16666.44,15585.58,31678.95,17175.16,15665.96,31274.22,19292.51,14709.30,27916.56,18750.36,15209.81,30105.51,15496.77,31835.39,22611.31,20554.10,16452.27,31372.16,-,20354.74,17924.42,31855.16,-,20738.75,18464.50,31722.29,-,21895.67,15465.31,38061.11,31219.60,21251.40,17720.06,40704.27,38464.46,21881.61,18887.86,40822.46,33080.57,22178.74,19637.13,44432.09,31394.26,22537.74,20836.44
