Territori,Tipus de territori,Escenari,01 Gen. 2024,01 Gen. 2024,01 Gen. 2024,01 Gen. 2025,01 Gen. 2025,01 Gen. 2025,01 Gen. 2026,01 Gen. 2026,01 Gen. 2026,01 Gen. 2027,01 Gen. 2027,01 Gen. 2027,01 Gen. 2028,01 Gen. 2028,01 Gen. 2028,01 Gen. 2029,01 Gen. 2029,01 Gen. 2029,01 Gen. 2030,01 Gen. 2030,01 Gen. 2030,01 Gen. 2031,01 Gen. 2031,01 Gen. 2031,01 Gen. 2032,01 Gen. 2032,01 Gen. 2032,01 Gen. 2033,01 Gen. 2033,01 Gen. 2033,01 Gen. 2034,01 Gen. 2034,01 Gen. 2034,01 Gen. 2035,01 Gen. 2035,01 Gen. 2035,01 Gen. 2036,01 Gen. 2036,01 Gen. 2036,01 Gen. 2037,01 Gen. 2037,01 Gen. 2037,01 Gen. 2038,01 Gen. 2038,01 Gen. 2038,01 Gen. 2039,01 Gen. 2039,01 Gen. 2039,01 Gen. 2040,01 Gen. 2040,01 Gen. 2040,01 Gen. 2041,01 Gen. 2041,01 Gen. 2041,01 Gen. 2042,01 Gen. 2042,01 Gen. 2042,01 Gen. 2043,01 Gen. 2043,01 Gen. 2043,01 Gen. 2044,01 Gen. 2044,01 Gen. 2044
Territori,Tipus de territori,Escenari,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys
Sants-Montjuïc,Districte,Baix,22085,131213,38170,21956,131824,38385,21788,131803,38670,21631,131259,38890,21450,130455,39139,21222,129519,39410,21018,128321,39869,20788,127386,40153,20587,126577,40465,20385,125928,40776,20252,125244,41192,20138,124774,41497,20057,124383,41801,20061,124014,42087,20023,123633,42508,20061,123311,42870,19939,123044,43399,19889,122988,43701,19873,122841,44113,19872,122800,44451,19888,122700,44873
Sants-Montjuïc,Districte,Mitjà,22085,131213,38170,22040,132426,38517,22067,133599,38967,22161,134565,39359,22215,134939,39771,22211,134925,40197,22230,134478,40809,22206,134081,41240,22215,133708,41695,22223,133402,42149,22286,132976,42710,22355,132687,43160,22442,132404,43608,22601,132081,44042,22702,131686,44613,22863,131292,45125,22849,130898,45809,22862,130694,46267,22879,130363,46834,22890,130102,47327,22896,129745,47904
Sants-Montjuïc,Districte,Alt,22085,131213,38170,22097,132997,38671,22196,134815,39217,22389,136587,39717,22602,138110,40253,22783,139158,40803,22988,139446,41532,23138,139247,42065,23307,138830,42617,23463,138349,43166,23683,137783,43825,23906,137374,44377,24143,136990,44934,24449,136585,45480,24694,136124,46170,24996,135681,46809,25122,135250,47626,25243,135053,48223,25369,134741,48937,25482,134560,49584,25572,134318,50321
Les Corts,Districte,Baix,10831,50630,22108,10593,50788,21976,10374,50748,21856,10125,50633,21671,9860,50432,21520,9617,50123,21417,9412,49729,21360,9192,49498,21188,8995,49323,21012,8870,49101,20877,8785,48873,20770,8709,48738,20612,8711,48528,20502,8692,48326,20449,8688,48186,20361,8752,47966,20324,8791,47765,20329,8868,47601,20291,8959,47496,20216,9053,47379,20178,9150,47301,20128
Les Corts,Districte,Mitjà,10831,50630,22108,10626,50994,22048,10481,51364,22010,10326,51767,21906,10155,51970,21831,10005,51978,21802,9895,51841,21816,9770,51794,21712,9672,51770,21602,9650,51666,21534,9666,51526,21492,9689,51453,21400,9785,51281,21355,9857,51094,21366,9938,50949,21341,10081,50704,21369,10193,50459,21436,10323,50247,21461,10451,50086,21444,10571,49902,21464,10682,49748,21470
Les Corts,Districte,Alt,10831,50630,22108,10648,51191,22121,10532,51782,22133,10418,52462,22082,10311,53060,22066,10238,53433,22094,10211,53549,22162,10170,53571,22108,10155,53532,22045,10215,53368,22023,10316,53181,22027,10425,53068,21984,10606,52862,21988,10762,52647,22052,10925,52480,22080,11149,52218,22162,11341,51960,22286,11535,51753,22368,11727,51601,22410,11904,51451,22490,12061,51346,22556
Sarrià-Sant Gervasi,Districte,Baix,23364,95645,32894,22753,96320,32744,22130,96656,32690,21536,96709,32625,20983,96476,32717,20416,96173,32852,20017,95576,33131,19643,95007,33436,19268,94586,33741,19020,94233,33984,18836,93935,34227,18858,93475,34532,18893,92994,34943,18972,92588,35318,19061,92278,35664,19289,91757,36150,19524,91383,36541,19810,91079,36859,20110,90916,37062,20405,90946,37114,20690,91061,37117
Sarrià-Sant Gervasi,Districte,Mitjà,23364,95645,32894,22819,96671,32864,22336,97700,32941,21925,98630,33006,21555,99081,33218,21179,99314,33467,20981,99154,33857,20811,98898,34268,20658,98731,34676,20646,98577,35022,20698,98429,35368,20954,98075,35776,21218,97656,36291,21520,97276,36771,21823,96956,37224,22253,96391,37818,22678,95942,38317,23106,95567,38743,23515,95325,39054,23892,95262,39212,24230,95276,39320
Sarrià-Sant Gervasi,Districte,Alt,23364,95645,32894,22862,97004,32984,22437,98409,33143,22107,99808,33293,21868,100927,33598,21651,101777,33937,21632,102045,34411,21654,101905,34898,21698,101714,35379,21882,101461,35796,22143,101233,36214,22609,100810,36698,23082,100333,37292,23590,99905,37855,24096,99547,38394,24725,98953,39078,25345,98482,39672,25935,98120,40197,26500,97903,40609,27015,97912,40872,27465,98030,41088
Gràcia,Districte,Baix,14747,84520,26560,14671,84994,26487,14625,85146,26352,14551,84921,26296,14421,84656,26194,14272,84204,26211,14157,83674,26241,14024,83177,26289,13876,82769,26356,13723,82437,26436,13584,82098,26576,13478,81780,26723,13432,81494,26828,13319,81224,27030,13239,80956,27236,13182,80656,27488,13093,80426,27735,12957,80225,28033,12835,80041,28329,12717,79862,28646,12608,79684,28979
